age,income,loan_amount,employment_length,dependents,existing_loans,transaction_frequency,spending_pattern,repayment_behavior,mobile_usage,utility_payments,social_activity,digital_payments,debt_to_income,digital_stability_index,default_risk
56,32952.264678517924,22111.5200447443,18,0,3,79,0.4081362604423262,0.34753359012238094,8.983808568675865,1,7,27,1.126186446374678,0.4625,1
69,59507.3122138402,17827.150379671653,22,1,4,20,0.5199542505634995,0.46138659597385,1.5415591842320608,0,38,37,0.6356616239382096,1.7619047619047619,1
46,62649.08433284602,19797.149125800282,13,2,3,88,0.6820273430311806,0.4749608232652146,7.5276321862328475,1,14,12,0.5554206270646139,0.24719101123595505,1
32,40516.4364979207,25173.574332180462,16,0,0,46,0.8075909580706999,0.1390771829619557,4.319536554342662,1,16,29,0.6213022468356885,0.8297872340425532,1
60,34564.5608521425,13800.269670633112,14,3,4,48,0.4675035233229098,0.5315347368026463,11.433825224268436,1,32,38,0.9778597204083279,0.9795918367346939,1
25,82190.41331551946,6076.63997175835,20,5,3,23,0.8271787264701191,0.04802747619275449,8.832757188573186,1,15,7,0.2564335995884212,0.7083333333333334,1
38,54549.91751464107,25409.03881742858,37,2,4,77,0.6438048085933136,0.9386463905517113,9.61031200392576,0,45,2,0.8324156748645175,0.02564102564102564,1
56,62719.35501423476,10761.773983754254,29,3,2,19,0.6831270305194279,0.7142180744142123,7.174869605082217,0,41,15,0.3310213084578722,0.75,0
36,33558.47976344145,9477.295013248764,18,4,0,91,0.5177948431856917,0.009458428511014638,11.6367325012927,1,35,15,0.2824029180444271,0.2717391304347826,0
40,25614.310669556126,1000.0,31,4,0,89,0.5185759899641792,0.28883165114490483,2.8769893533614286,1,3,22,0.03903915173625058,0.35555555555555557,0
28,38611.00451015779,19570.26442531437,28,5,2,43,0.5255784613009994,0.9827215822713216,5.282218405517272,1,21,9,0.7658308549491446,0.4318181818181818,1
28,47519.57225220006,2028.3790035822294,21,4,1,9,0.493582227184166,0.04845682065178025,6.50053272676652,1,5,5,0.1479018174756268,1.5,0
41,28715.599863653024,8997.929538466105,19,2,3,90,0.4671028088522744,0.14672541198161138,7.087360615537381,1,14,18,0.8356814404354534,0.3076923076923077,1
53,49803.10382699234,19705.89435612047,37,1,1,35,0.71964785562169,0.47711481021219737,9.540051840247234,0,4,37,0.49606141778884116,1.0277777777777777,1
57,16229.896238629997,20775.370019266975,37,1,4,83,0.41014552401150595,0.3534493447374061,9.013593304240267,0,14,25,2.5122069305218298,0.2976190476190476,1
41,27599.051550602555,9786.366814254132,35,3,3,32,0.2653880385611477,0.9852311879293585,1.6021729014490473,0,28,17,0.8980550912671394,0.5151515151515151,1
20,63418.224965537505,13926.773384060758,0,1,3,42,0.20845542203061954,0.5395919523580283,8.961113603072032,0,19,26,0.4561199446978387,0.6046511627906976,1
39,62075.81040555788,8019.243788750775,18,1,3,56,0.8036636820543172,0.941196181979977,3.8857749634238763,1,18,19,0.37081872664465715,0.5087719298245614,0
19,42162.46469226267,10612.825697510538,25,3,2,19,0.7903066753100342,0.376820676889819,5.576978910617589,0,2,45,0.488878839724316,2.25,1
41,29644.71381846094,17129.722081223255,6,3,0,23,0.2949141583134125,0.2720916345699611,5.952031888848913,1,33,5,0.5778144586471808,0.625,1
61,29451.92896947978,10986.826569628338,33,3,2,39,0.19456389125949514,0.2884204523709336,8.629273454685189,1,31,16,0.7125548223531747,0.65,1
47,42534.63508117372,13046.279678594647,35,2,2,86,0.8683671341545032,0.6365987486944982,8.494375903026334,0,29,29,0.5418111104868618,0.3333333333333333,1
55,62890.369832905824,3282.3465470594656,5,3,2,78,0.4856135156738337,0.6040140196605118,5.1633194238377715,1,32,15,0.21119505875526212,0.31645569620253167,0
19,68564.91382688649,24063.649318449097,36,2,1,19,0.1747017217729604,0.5536011521068437,9.945583039079754,1,34,24,0.42387897566461774,1.7,1
38,40069.36529036062,19080.532745368524,21,2,2,92,0.2722463856991485,0.1890702837912217,2.33632802040815,1,18,15,0.725736651878344,0.26881720430107525,1
50,26930.151480304325,21343.242974697612,8,2,0,51,0.6630069928203091,0.26344587454504176,3.559915705002384,1,0,5,0.7925113410136458,0.28846153846153844,1
29,55356.872757326666,25323.4025969349,28,3,3,60,0.16505304575755375,0.28911666123639623,5.671653675708388,1,15,36,0.728413152248486,0.7540983606557377,1
39,33529.30058748301,8398.296995634268,16,1,1,24,0.44645129407304485,0.8662345527376019,3.407390301096595,1,0,6,0.3995877388774708,0.64,0
61,39634.947222775954,12132.844135775811,12,5,2,79,0.4420664097681575,0.8173333711811696,11.203427434960954,1,25,40,0.5584033102924721,0.625,1
42,76505.52180874076,1000.0,16,5,2,13,0.6485425238779018,0.20502665011600008,11.205785948312359,0,42,31,0.14377859220288416,2.2142857142857144,1
66,66542.30857131536,40123.3832808179,9,1,3,9,0.2595230231580563,0.1464259235787193,2.8766727040987163,1,26,16,0.8283835664970195,2.6,1
44,53159.48624502903,13803.31747746099,24,3,3,15,0.8870165724953283,0.10214008412745201,5.545619656393532,1,45,26,0.5418181719538796,2.25,1
59,24561.619977745544,23309.823199319297,17,1,1,95,0.22422322363671024,0.06763797290024154,11.912015211758645,1,24,2,1.1525571467933318,0.125,1
45,54227.93134941318,5094.710845316329,14,3,0,6,0.578693072221971,0.9846202023925147,1.2136011285173547,1,18,27,0.09394820658532965,5.285714285714286,0
33,71253.14581575053,22971.107405144074,26,2,1,56,0.3624818104973506,0.8112936926672554,1.4762271325671605,1,8,33,0.39255410453550255,0.7543859649122807,0
32,42487.32668468929,29860.727013197327,18,4,3,24,0.20630406116018582,0.016928071481764895,10.272212486959184,0,46,28,1.0558365206075047,1.12,1
64,77022.28179973431,14517.754007776148,14,0,0,25,0.5311068341750617,0.006625550976629646,5.203938867766006,1,29,3,0.18848526924006279,0.5,0
68,75854.90579036414,6912.948027283189,6,5,2,55,0.23561084762691717,0.6899196544457629,9.038207981708023,1,44,26,0.22296151962147706,0.6428571428571429,0
61,83274.65664286946,13889.628792435711,39,3,2,34,0.6438789625385146,0.3112729883457327,7.800271184690967,1,10,19,0.2868740968910904,0.8285714285714286,0
69,56104.862530627055,1000.0,15,2,4,52,0.12594470012760875,0.09895220014115025,8.637518843504465,1,28,11,0.3742924367045694,0.39622641509433965,0
20,61747.833996120244,14696.906391825265,23,4,3,5,0.5083156736973631,0.4640161646208508,3.171368257543683,1,34,34,0.4809306422480975,7.333333333333333,1
54,78283.7457666218,21567.737114503965,22,2,4,39,0.2751862850886402,0.018837936826281987,7.017992242605124,1,16,9,0.5309813132487321,0.475,1
68,58947.878741379514,14713.938845011886,10,0,1,30,0.8599956349127995,0.4248804589146925,8.109477655479065,1,36,13,0.33442432266609967,0.7419354838709677,0
24,39975.31784419574,12726.883562488261,23,5,1,13,0.6684255063371116,0.23757784278218375,7.073808305888256,1,27,21,0.4434346262599088,2.2142857142857144,1
38,41029.14326944277,19220.544928896263,4,1,0,44,0.7042255094549511,0.2648767203790937,11.391611602799232,1,45,40,0.46844937398039205,1.1111111111111112,1
26,54771.09907547478,19832.198775596422,38,1,3,25,0.6642801060556611,0.28623103029877106,1.179153864047259,0,33,23,0.6359478523472032,0.8846153846153846,1
56,24188.771561075628,1720.755499958539,29,2,0,84,0.6327163630270871,0.30770327299212497,3.361618625600784,1,1,25,0.07113566556897338,0.4117647058823529,0
35,47134.82169271615,15710.583698230308,15,0,0,16,0.21043840400508618,0.02004233770041286,1.809891748475371,1,12,10,0.3333045470311181,1.1764705882352942,0
21,71930.94236460507,34487.88099383395,19,2,1,41,0.8979426921162726,0.5702051733205572,11.598027925460114,1,20,19,0.5489616948431578,0.6904761904761905,1
42,10000.0,4319.870034815809,28,1,1,95,0.6259004673132382,0.5478900484568614,3.5736741107110457,1,41,7,0.9318938141001709,0.17708333333333334,1
31,80689.6420358903,14316.649337335468,16,2,3,75,0.817903232727842,0.6508071304445529,9.143521991173879,1,22,28,0.3633215525078577,0.5,0
67,72447.48437406319,30533.96897641362,18,4,1,98,0.5030448084340723,0.15991580309652165,2.6022511232778807,0,37,8,0.4904722201357038,0.08080808080808081,1
26,40804.70768339047,23833.401252349402,25,0,3,28,0.32877687918530285,0.9948175328460255,1.5740237136091217,0,2,37,0.9516659177597384,1.2758620689655173,1
43,60867.81655743619,10892.826553791509,14,1,4,54,0.4497834830546298,0.13582373980593143,3.1008387706055216,1,11,5,0.5075312500061644,0.2727272727272727,1
19,50062.954538126534,16649.083036980832,24,5,2,58,0.4193275474386734,0.8115557611652796,4.038183892619833,1,18,27,0.5323007997038278,0.6271186440677966,1
37,74599.80736877366,14983.106560121412,14,5,4,98,0.1127675005733738,0.22036038005071656,6.041037437206159,1,4,25,0.46893737204732466,0.35353535353535354,1
45,69653.66285539883,9015.42556542666,19,2,1,88,0.6399505102309908,0.4390366133484187,1.2444816640908554,1,33,8,0.20121302710950306,0.20224719101123595,0
64,21998.585536339815,14405.983140055341,29,0,2,32,0.6901178676148623,0.3242023106426789,7.790028744509727,1,41,44,1.1093837699687814,1.6363636363636365,1
24,61745.24826928353,12760.270937547766,20,2,2,8,0.13273023015353644,0.30770950810441533,8.218794446199901,1,42,25,0.36860977914459225,3.888888888888889,0
61,45887.442927135045,15901.991504613998,34,1,0,16,0.2967546950120382,0.4865123087808556,4.20019667735216,0,32,24,0.3465358702596276,1.411764705882353,0
25,51656.651410362,9012.934554471733,5,0,2,71,0.6315490460974635,0.239627978103918,3.913409299234134,1,32,5,0.3680565034487404,0.20833333333333334,0
64,35436.561980603685,4787.054398042712,36,1,3,41,0.35751583602745063,0.5468561087689784,3.094336463600037,1,8,20,0.5583638741534452,0.7142857142857143,1
52,84962.74138241672,14669.753812861034,10,4,1,8,0.8470798634760214,0.2506821933318629,3.3671925628897252,0,27,20,0.23150762304979777,2.2222222222222223,1
31,70801.23639805152,28720.94574543024,22,4,1,19,0.19007668432525193,0.9729173649245915,8.153726041438663,0,2,46,0.47626950024361436,2.3,1
34,35204.57672054065,15657.623410102373,38,5,0,32,0.8424695337991135,0.23941040519001144,7.663476320337212,1,29,40,0.44474838558650714,1.5151515151515151,1
53,23307.787861795347,12347.249768547637,8,3,0,41,0.8311675396029945,0.7646221882253029,11.063595412987151,1,20,26,0.5297250908866694,0.8571428571428571,1
67,42286.54738044304,21032.68644030799,17,0,1,13,0.8646124784231701,0.46971718710637644,10.102411446333045,1,18,10,0.6156111681319091,1.4285714285714286,1
